,reviews
1914,heathrow to belfast with british airways boarded about 12 noon for 1255 take off after some delay we were informed there was a technical fault and engineers had been called we were offered water or soft drinks initially we finally took off at 3pm which meant we had been sitting on the plane for 3 hours during which time we were not offered anything at all to eat it was quite disgraceful for ba once airborne we were served tea  coffee  alcoholic drink and a choice of potato crisps is this what ba has been reduced to this airline definitely no longer lives up to expectations and i will not be flying with them again at least with low cost airlines you can at least buy some food
1915,"review   
i have to be upfront and say the flight from london heathrow to boston exceeded expectations mainly due to the cabin crew over the years british airways first has gone so far downhill im afraid it just cant compete anymore it neednt be so as the issues as i see them are all resolvable however the return leg was like flying with ryanair there were only 13 people in the cabin there were no slippers 2 of the menu items i requested were in the words of the crew invisible and what did arrive was verging on inedible due to sauce being lumpy and near to warm the chocolate lava cake contained no lava and quite how one can burn and cool food at the same time is beyond me my father waited the entire flight having asked on 3 seperate occasions for a headset convertor we were not asked if we wanted to be woken for breakfast which i then missed assuming i would be woken there was a palpable tension between the crew which was confirmed on leaving the flight when we overheard a member of the crew comment he was happier to get away from the crew than the passengers once we had disembarked the aircraft it was a further 25 minutes before we could get in to the airport as a door had not been unlocked finally we collect our suitcases which i have to say were present when we arrived at baggage reclaim only to find 2 of the 4 had broken wheels ba have subsequently supplied 2 new replacement suitcases when comparing the service  food to virgin uc for usa and etihad first for east bound ba just doesnt cut the mustard any longer im afraid such as shame as the seats  bed are great but why pay the extra  for service and food that just isnt forthcoming or varies from flight to flight"
1916,review  berlin txl to london heathrow with british airways after purchasing ticket i could not preselect seat assignment despite having one world sapphire status i called ba 3 times the first 2 times the agents stated they would select my seat for me and later the assignments dropped out of the system after the third call the agent emailed me and explained that due to my fare category and despite my status no preselection could be made at checkin i spent more than 45 minutes online trying to pay the junkfee for a single piece of luggage again i had to call ba 3 times to get a bag checked onto my flight 2 of the calls were to undo the mistake that the first agent made by applying the junkfee for luggage to my return flight instead of the outbound the second call was to get a refund and rebook the junkfee the third call was to complain about spending 2hours checking in and correcting bas mistakes i spoke with a supervisor and offered to comp my luggage but no one ever bothered to credit the junk fee the ba lounge at txl is small and does not have a toilet there were no warm food items on offer i did find the service to be good boarding commenced at the farthest point at berlin tegel from the ba lounge flight was okay with minimal amenities ba not only does not compete on price but amazingly no longer competes on service
1917,review   warsaw to london heathrow i fly the route regularly and i have noticed decline in the ba level of service boarding in warsaw is chaotic no priority boarding rules enforced basically boarding started for everone at the same time no matter you fly premium or are a frequent flyer new ba short haul seats are  not really comfortable fine for 1h flight but get uncomfortable for any longer same concerns meals provided crisps and drinks with no possibility of buying further food is not enough for 25h flight i would rather cut on free alcohol and have a decent sandwich or a possiblity to buy further food if necessary on the plus side cabin service very well trained and attentive the waw to lon route is served with other carriers including budget ones and i will have hard time justify paying a premium to fly ba on this route in the future
1918,manchester to new york via heathrow we were bumped off a ba connecting flight from manchester to london heathrow and put on an american airlines b777300 via lhr whilst i would agree that the staff on aa see passengers as a necessary evil particularly as we were the lowest of the low in standard economy the amount of room in their seat is by far a better option than those on the aging ba b747 aircraft the food  drink served on the aa flight was also better than that served with ba at least the coffee on aa came in coffee shop style cups not the feeble paper cups that ba provided with its 2 sips and its gone drinks im going to be booking a trip for our anniversary early next year to boston which i think ill book with icelandair as this would avoid the 20 mins taxiing to the runway and 20 minutes circling time that
1919,review   the british airways experience has really declined over the past 5 years i often fly business class and at least premium economy the boeing 787 is awesome clean spacious and excellent technologymedia options however the staff and service has declined rarely do the staff seem interested in their jobs  they are on automatic pilot we travel with 3 children and the stroller has become a real problem firstly they gave a 5 kg maximum on weight try getting a 5 kg stroller that works in canadian weather so we bought a new light stroller  however we have noticed extreme wait times to have the stroller brought to the gate after a flight ends try travelling with a 23 year old through the chaos of terminal 5 in the summer months without a stroller with a tight 1 hour lay over we waited over 25 minutes for our stroller the only reason we got it ground staff forgot was because the older and very caring pilot went down the stairs himself to get it the younger staff could care less and left us and 2 other families alone waiting they could learn a lot from the pilot also every single flight on our journey ended up leaving 14 hours late a mixed blessing we made our layover because of it the good in the lounge and on board has suffered as well anyway they have to improve i fly with 5 family members every year to italy  this time we are using klm or lufthansa  and another bonus us we can avoid heathrow terminal 5
1920,flew malta to london first the plus points generous luggage and hand luggage allowance even more so by being one world sapphire member which also allowed prebooking of seats including emergency exit row at no charge and lounge access so far so good but new style leather seats whilst smart looking are hard after 3 hours flying without the ability to recline no entertainment apart from ba in flight magazine and inflight shopping magazine what really lets british airways down though is the food and beverage service one albeit fresh sandwich and a drink no tea or coffee service and the crew fast became invisible after the meal had been served the flight was crowded too meaning that overhead luggage space was at a premium as the negative effects of a generous hand luggage policy came into play on the basis of this trip ba has declined significantly since i last flew with them offering a very basic level of service
1921,philadelphia to london heathrow with british airways in first class same issue as my last post i buy a first ticket to relax after a hard weeks work and ba has upgraded a family with small children who eat takeout food in the lounge and disturb the cabin on the plane this situation happens repeatedly so travelling paid first class on ba is a total wate of money i can do the same trip on other airlines that value their premium passengers
1922,upgraded on the outbound flight from london to boston from premium economy to business very pleasant experience but surprised to discover that my partners entertainment system would not work mentioned the problem to a flight attendant who apologised when we landed and indicated that he had forgotten about it return flight was in premium economy which was fine except for breakfast every time i travel with ba i complain about the breakfast  sadly to no avail no more sweet cereal bars please
1923,we booked the return from our honeymoon with british airways from naples to london gatwick and due to the occassion we upgraded to club class and also paid extra to ensure that we were seated together two weeks before travel they decided to split our seats without informing us i found out when checking the advanced passenger information that needed to be provided online i obviously complained explaining exactly what the trip was and how we had specifically paid extra to ensure we were seated together as recommended on their website their response was simply that they could not guarantee seats due to operational or safety reasons  but wouldnt tell me why they had chosen to change our seats two weeks before only that it was an operational reason the customer services representatives were unhelpful refusing to look at moving any individual travellers staff at the airport were rude and unhelpful my wife is a nervous flyer as well so the stress and anxiety actually really ruined our honeymoon with my wife being reduced to tears the day before we travelled ba couldnt care less and wouldnt even give me an address to write to to complain awful customer service
1924,heathrow  paris cdg return with british airways bag drop at terminal 5 quick and hassle free checked in online so had my boarding pass on my phone security was busy at 1300 but had an hour so no panic first time i have used ba in 5 years without having access to the lounge through my frequent flyer status but the hour in the terminal pleasant boarding quick and seat 7a was spacious departed 20 minutes late with a 10 minute late arrival crew nice with a drink and snack provided on a 55 min flight return i had no checked baggage so straight through terminal 2a which is a nice experience with shops and food outlets boarding at 1745 for an 1800 departure on to a half full a319 departed a little late which meant a late arrival in to t5 a nice flight nice crew a drink and snack provided seat 24a with enough room pleasant trip for a short flight i dont feel its worth the extra cost for a business class seat economy was fine will use again
1925,review   abuja to london heathrow this flight took off and landed on time the jack on the new style headphones didnt fit in the socket so if i wanted to listen to anything i had to sit and hold the jack in place there was no toothbrush or toothpaste included in the little package left on seats for customers the meal served before landing was a choice between a mini kitkat or a mini mars bar a far cry from the scone jam and cream of a couple of years ago  and even worse than the bruschetta mini breadsticks tomato salsa packet of mixed nuts and 2 celebrations of a couple of months ago dont even get me started on the disgusting muffin that has replaced the salmon and egg roll as the meal before landing on the outward journey the toilets were not checked as often as they should have been and i had to inform the cabin crew that there was no toilet roll left very disappointing
1926,review   london heathrow to istanbul return the outbound flight was delayed approx 25 hours which was very frustrating boarding the flight was another hassle in so far as we were bussed from the terminal to the aircraft and then there was confusion around seating arrangements once we were finally off the ground the onboard entertainment was great and the flight was quite smooth the food was terrible tomato and egg sandwich with other little tit bits return leg was on time but the check in queue was horrendous the flight left on time on board entertainment was a struggle as we did not have individual monitors and we were offered tomato and egg sandwiches again as a meal i hope that this experience is not repeated in october on our trip to the caribbean but either way i will come back to give an honest opinion we will be flying premium economy so will expect to have far fewer complaints lets wait and see
1927,review  the flight from london heathrow to krakow with british airways was slightly delayed but arrival on time standard economy class service nothing to write home about but efficient 530pm flight to arrive at 830pm but served only a pack of chips with a drink not even a sandwich for this 25 hour flight there is nothing to be purchased on ba i believe this flight time should justify at least a sandwich that ba served on my previous experience
1928,review   i was booked to travel british airways from heathrow to dublin airport in ireland i arrived at the airport within the permitted checkin times and was held up by a longer than anticipated queue i went to a checkin bag drop counter where the staff ignored me for a good few minutes as she conducted a personal conversation with one of her colleagues i was asked to place my bag onto the conveyor belt and issued a boarding pass and baggage receipt the woman behind the counter then took the boarding pass back and after a few moments i asked her if there was a problem she nodded and said her computer system would not let me board as my bag had been offloaded even though the bag was still on the conveyor belt and she had issued me with a boarding pass after 15 mins she told me to take my bag and go to a different area for help it was bizarre i joined a second queue where a very helpful man explained that the first person i dealt with had not checked me correctly due to timings he made a telephone call and as my flight was delayed by almost one hour he told me not to worry and to make my way to through security to the gate boarding was not efficient one would expect better from ba the queue was poorly managed the cabin crew with one exception were frosty and functional one cabin crew member an older lady was superb and i saw her help a young mum with a baby and answering questions from 2 japanese people with limited english this member of the cabin crew was a superb representative of her airline my seat was not clean and there were crumbs on the floor the captain made very clear announcements and there was a nice dropdown screen to show the route of the flight a cup of tea and a small packet of crisps were offered  my bag did not arrive into dublin with me and so i had to join a queue for swissport this is where my nightmare started a uniformed woman who said she represented ba told me my bag would most likely not arrive until tomorrow i asked her if the bag would be on the next flight and she said no and suggested that i leave the airport and that a courier would deliver the bag to where i was staying i took her advice only to receive an automated email that same evening to inform me that my bag had indeed been placed on the next flight over the next few days a nightmare began i spent many hours calling swissport and their courier dpd to be fair the dpd staff were helpful and told me the reference number from swissport was wrong swissport insisted the reference number was correct
1929,review   london heathrow  vancouver  london heathrow first impressions could have been better as this flight departs from terminal 3 rather than terminal 5 at heathrow the departure lounge was being used by multiple longhaul flights on large aircraft meaning that the area as crammed full with most passengers having to stand and making it difficult to access the departure gates however the ground staff did their best to manage the situation and were clearly used to having to manage it once on board i found the cabin to be very clean unlike many airlines ba offers economy seating upstairs on the a380 where the ride is noticably smoother and quieter than on most other aircraft however the profile of the cabin means that the overhead lockers are smaller than usual which could be an issue for those with roller cases the ife system provided is excellent i also ordered one of bas new gourmet meal offerings rather than take the standard meal this option was well worth taking up offering an improved choice and quality the service provided by the flight attendants was friendly and professional and this is one area where british airways seems to do consistently well if i have a criticism it is that the 31 inch seat pitch seems miserly for a 910 hour flight arrival at vancouver was on time and i was through immigration and landside in about 20 minutes processing through security for departure from yvr was equally efficient the return flight offered a similar experience to the outward one although arrival in london was an hour late however the relatively quiet cabin on the a380 meant that i was able to get some sleep unfortunately the arrival experience at lhr terminal 3 was no better than the departure one a lengthy walk to arrivals concluded with having to join a slowmoving snaking line to clear immigration a marked contrast to the experience at yvr
1930,review   flew london heathrow to washington dc the business class cabin on a british airways a380 is unconscionably crammed with seven seats per row most other international carriers ive flown limit themselves to no more than four or at most five seats per row in business class in the ba configuration passengers in the middle of each row are trapped in their seats if their seatmate choses to extend their seat into a flatbed also the seats lack any storage space save a tiny drawer suitable for no more than a pair of shoes and the seats are claustrophobically narrow by far the worst business class seats ive ever encountered
1931,review   i fly this route 34 times a year unfortunately there is no competition other than air canada ive had occasional problems  rude staff freezing planes poor service  but generally been satisfied on this last flight a week ago the plane has been internally reconfigured and they have placed large metal boxes in the foot area of every third seat that take up approximately 13 of the space and fully restrict the movement of your feet and therefore your legs for the entire journey if you are a normalsized adult i have attached a photo of my feet trapped in this space  i offered to send ba this photo but apparently they are not interested as they ignored the offer along with the content of my complaint see below the discomfort caused by the reduced foot space was compounded by a delay of 15 hours  for which i did not blame the airline  meaning i spent 8 hours in that position rather than 65 hours then on arrival we in steerage learned that the prelanding snack had been replaced by a funsize chocolate bar approximately 2 inches in size as a result i arrived starving and had to go and eat somewhere after 10pm and would have brought food on the flight had i known of the miserly costcutting measure in advance i wrote to complain about these aspects of the flight but primarily the lack of foot space because of the new configuration as this cant easily be remedied and will put me off using the airline again i ended my complaint saying i had the distinct impression that there is no respect for economy travellers ive just received a response which is clearly a cutandpasted reply about the 15 hour delay and completely ignoring the content of my complaint indicating that it was not even read and confiming my impression that they have contempt for the experience of people in economy which is particularly shortsighted as some of us will soon be travelling in higher classes due to changes in our circumstances and we wont forget how we were treated
1932,flew zurich to london heathrow very friendly staff great choice of complimentary drinks even spirits such as gin  tonic two sorts of whiskey are included flight was on time modernrefurbished cabin what i generally love about british airways is their cabin bag policy that allows customers to bring up to two bags on board for free
1933,review   flew british airways from boston to berlin via london pleasant flight not as comfortable as the plane flying out in july but still nicer than the old plane im used to flying into san diego the entertainment screen options were much more extensive than ive had before so im not sure if the different route made a difference or a different plane the crew were kind and unobtrusive food was completely tomatobased which was very strange as usually they offer more varied options overall good flight
1934,review  flew london gatwick to tampa ba club world business class is a great way to travel unfortunately due to renovations at lgw british airways are having to utilise a lounge so it wasnt as restful as may otherwise have been but once complete im sure that standard will be resumed on boarding it was nice to be welcomed back a small but nice touch straight after settling into our seats came complimentary drinks warm towels and our menu choices ba does a great filet steak and the desserts were fantastic one of the things i really love about ba is the fact that they have a diverse age range when it comes to their cabin crew the more senior members really do know their stuff  the things that only experience gives you and this flight was no exception superb service was provided by the cabin crew and even when stretching my legs they were quick to offer refreshments and guide me to the galley where a large selection of snacks drinks are available between the regular drinkmeal service the only downsides for me are the seating arrangement that means that those in window or centre seats have to step over other passengers when those passengers are fully reclined and the ife which really does need an update i know that the second point is being addressed on the older aircraft as an aviation enthusiast a really big thing for me is that the flight deck crew are always ready to spend some time chatting after the flight ba my airline of choice
1935,review   outbound heathrow  frankfurt on ancient british airways 767 with old business class seats etc aircraft was filthy dirty with wires hanging down why do they fly such wrecks inbound frankfurt  heathrow on a319 british airways have the temerity to call blocking out a middle economy seat with a metal tray club europe the seats were narrow and uncomfortable economy seats the flight attendant was grumpy rude and sullen i accept this was a short flight but how british airways get away with calling this business class is beyond me they should be cited for trade descriptions i wonder if any ba senior executives bother to fly their socalled premium classes
1936,review   dublin to san francisco via philadelphia my international ba business class return flight was rebooked by ba to american airlines instead of the second leg of the flight being the fully reclining seats with movies electronics and lots of space as advertised and paid for like my first flight the second leg was a domestic flight which had a business class seat which reclined about 4 no movies no electronics etc as it was an older plane it would have been fine had i not paid top dollar for all the amenities i submitted a complaint and asked for a partial  voucher but to no avail the customer service personnel told me things in conflict to documented conversations the final straw was when i contacted my travel agent and had them call ba on my behalf ba told them they would not refund anything because it was a voluntary upgrade really ba changed my flight and rerouted me with less amenities  what is so irrating is the cost was over 4000 for each ticket and i was not provided the service or flight i paid for false advertising
1937,review   mexico to amsterdam via london with british airways awful experience my baggage is delayed since tuesday 2 august they told me that my 2 pieces of lugagge were going to arrive the next day ive been waiting and nothing has been received yet i even paid for the upgrated seats to ensure a good care with my luggage will be given however everything has been very dissapointing my first experience with british airways has been awful
1938,review   i was flying zurich to baltimore via london with my cello and had booked one seat for me and an extra seat for the cello the booking was made online and then verified over the phone directly with british airways  i asked the ba customer support agent if the cello booking would be okay and he told me there is no problem  you have the additional seat booked simply turn up at checkin and you will have no problems  ba denied me boarding because their system required not only me but also the cello seat needs to have an esta visa they were unable to distinguish between a passenger and a cello in their system after 3 hours of stress at checkin they denied me boarding and quoted me over 4000 to rebook both tickets for all legs of the journey i made an official complaint and they replied basically confirming no refund i am appalled my their total lack of customer service and will never fly with them again
1939,review   singapore to sydney return on a british airways fifth freedom route boarding for the outgoing flight ba15 from singapore was a bit disorganised and there was congestion on the aerobridge on board the aircraft had an airconditioning problem so the cabin was quite warm seats were fairly comfortable with a fairly narrow seat pitch and the entertainment selection was fairly good bar service commenced 30 minutes after departure the chicken main meal was pretty good but would have preferred dinner to be served 1 hour and not 2 hours into the flight prior to arrival i received a snack box which contained a really bad sandwich granola bar and some yoghurt cabin crew didnt offer a regular drinks service on this flight return flight to singapore ba16 was a notch better  boarding in sydney was done in a more efficient manner bar and main meal service was quicker although evidence of bas cost cutting can be seen as theyve now removed cheese and crackers from the main meal cabin crew did do two rounds of drinks service on this flight and were more attentive good sandwich for the snackdinner service before arrival late departures on both flights but arrivals into sydney and singapore were on time still good to note they provide toothbrushes even during day flights very satisfied with this ba flight and service especially when their full service competitors charge around 40 more on sydney flights and budget challengers arent up to the mark with the price and service
1940,review   london heathrow to nassau return with british airways avios tickets for me and my wife great cabin crew on both sectors particularly the first as it was a day time flight so we gave them more to do and had more interaction food was pretty uninspiring and the wine list limited but we did manage to find things that kept us pretty happy disappointingly they did not have enough champagne on the return sector for anything other than a pre flight drink crew said it had been busy on the way out and they were unable to replenish the bars at their destination grand cayman lie flat bed is comfortable flights on time and bags delievered to the carousel fairly quickly
1941,review   miami to london heathrow with british airways busy check in at mia this being explained by broken windscreen on flight ba206 which led to their passengers being rebooked our own flight ba208 was befallen by a damaged tyre which took 3 hours to fix the admiral lounge at mia was reasonable the flight left late and staff provided reasonable cabin service toilets constantly used by economy class passengers which left them less clean than usual and less readily available slept well on flat bed breakfast was ok they had to manage 300 missed transfers as a result of the delayed arrival and the staff seemed well prepared for this baggage damaged one item and lost two items i watched the ground crew at mia unload the a380 from the gate after it arrived and i can state that in some cases they literally flung the cases onto the ground from the hold i suspect this explains the matter
1942,review   doha to paris cdg via bahrain and london premium economy is really good the return flight to cdg via bah and lhr was 500 more than a direct flight in qatar economy class yes it also stops over in bahrain and its not direct to paris but it was well worth it bigger seat great food and better ife than qatar i could use the emerald lounge at lhr t5 so landing from doha i can shower and have breakfast before the short hop to paris  i think there are plenty of passengers from qatar willing to pay extra for premium economy rather than shell out for business class originating in doha ba will fly direct from doha in a couple of months
1943,review  sao paulo to heathrow with british airways tam lounge at guarulhos t3 is one of my favourites boarded on time seat 1k cabin very empty about 6 people in first ba first service is fabulous each passenger was welcomed and spoken to individually by the flight manager which i thought was a nice touch the ba 747s are all in my experience quite tired looking however i will be sad to see the back of them when the 777s arrive on this route in a couple of months the first cabin looks nice but it doesnt feel like a first class environment the food was at best ordinary the menu was not very inspiring the main course was simply dreadful dry chicken the whole meal was not exciting as i would expect from a first class dinner service very good wine  champagne selection inflight entertainment poor ba have great staff but prices are very high across all cabins and i am sorry to say on this flight it was not worth it
1944,glasgow to kuala lumpur via heathrow british airways gets bashed a lot and i get why  they dont have the best seat they dont have the best food they dont have the best cabins etc they dont seem to be the best at anything the business class lounges in lhr are often very busy the food isnt very good although they provide a load of free pouring alcohol the club world cabin on the boeing 787 is very nice place although a bit crammed the cabin design and atmosphere retains a feeling of class in terms of the club world seat it has its critics but i like it the separate footrest is one of the best features for making a comfortable seating position and its one of the only airline seats i can sleep in this may in part be due to knowing there arent many things to distract you from sleeping such as a bar area or a huge range of films on the ife food wise its an o affair the dishes are ok although you only get the choice of dessert or cheese not both how cheapskate i have always found cabin crew to be experienced highly competent and keen to help  they make the difference i know when i get a ba flight i will be looked after just not spoiled
1945,review   london heathrow to miami in club world lounge at terminal 3 was busy and slightly cramped with basic food offerings flight left on time a380 club world layout was roomy however slightly inferior cabin service for example no hot towels no drinks menu etc food quality was good the club world kitchen content was poor and inadequate when i visited they had only ice cream on offer seat comfortable and slept well when used as a bed baggage damaged on arrival overall a reasonable flight a superior product compared to north american carriers however inferior in comparison to middle eastern airlines
1946,review   athens to kuala lumpur via london heathrow the lounge in athens was basic and the furniture was very worn and needed replacement the first flight to lhr was on an a320 basic economy seats for a 35 hour flight not great but the meal was excellent and crew efficient ba lounge at t5 is large and busy with plenty of quiet areas to relax amenities there are fine and in line with most good airport lounges boeing 7879 to kul so everything new excellent food and service unlike some reviews i am a fan of the business seat layout and go for the window seats which provide excellent privacy  once the divider is raised
1947,he flight from london city to florence showed british airways well cityflyer in this case at its best the plane was spotless and reasonably new the service was friendly and efficient and the food and wine were better than you would expect its worth noting that ba has no lounge at florence and the businessclass seating on board is identical with economy but if you fly economy on a good day this is pretty much as good as it gets for a short flight
1948,i flew from frankfurt to london heathrow on ba903 first everything went fine check in was quite fast and not very crowded and we didnt have such a long walk to the gate when we arrived at the gate d6 they told us our flight was delayed instead of 1055 am now 1130 am departure time the aircraft arrived at 1040 and boarding was at 1055 the planned departure time because the aircraft was parked at an apron position we had to go there by bus the flight was ok but the aircraft hadnt been cleaned they served crackers or crisps so there were crumbs everywhere around the cabin from the last passengers the seats were normal short haul seats and ok for a 130 hours flight they told us the delay was because the baggage system in heathrow collapsed all in all the flight was ok
1949,flew from leeds bradford to london heathrow so much improved from my last flight with british airways which was long haul cannot fault the airline in any way cabin crew extremely friendly and chatty when time permitted and very helpful aircraft spotlessly clean and very generous leg room of the three different airlines flown in this last week ba wins hands down
1950,bengaluru to london heathrow with british airways in world traveller started badly  at checkin and gate boarding world traveller passnegers are made to feel secondclass citizens but this seemed worse at bengaluru choatic than heathrow the plane itself was packed to capacity probably because this is the only direct carrier on this route world traveller is a 3x3x3 configuration i had chosen an aisle seat in the centre seat 38d at the rear to minimise risk of disturbance from other passengers leg room is actually pretty good for economy and the new style of seat has plenty of space underneath seat width is ok the adjustable headrest is better than that in premium economy world traveller plus although the seat base is hard for a 10 hour flight i recommend sitting on the cushion service was variable  the vod in my seat did not work all i could get was the map and one of the staff reset it quite grudgingly i felt 3 times without success thankfully a more senior staff member was able to find the only other unoccupied seat about 3 hours after takeoff to be expected to put up with a seat without vod for 10 hours is ridiculous  why do ba not check them after each flight plenty of food breakfast after 2hrs in then a snack box after 5hrs then lunch after 8hrs but unfortunately while i thought sitting at the rear would mean being served first that was not the case and by the time they got to my row all choice was gone no connectivity in seat only earphone socket vod choice quite limited compared to other airlines unfortunately i think that british airways have been overtaken these days and will look to the middle and far eastern carriers in future
1951,review   flew bangkok to london its been a few years since i regularly flew business class with british airways i always used to look forward to the big seats a boozy afternoon watching movies and being treated a little bit special fast forward and the lounges are generally borrowed from other airlines that make you feel like a second class citzien the planes are tired with worn out interiors and all of this is reflected in other passengers dissapointment in a generally lack lustre flying experience for better value and added smiles ive found the premium economy offering must better value for money
1952,on our recent british airways flight from mauritius to london we decided to pay for an upgrade only to find when we got on the plane that the seats given to us were not functional we had no entertainment on the 12 hour flight no power to the seat so could not even read british airways are not willing to offer us a refund on the upgrade as they advise their responsibility is to get us from a to b the entertainment system are all additional and not part of the ticket price even though looking at their website they state personal entertainment system with noisereducing headphones as one of the selling points for upgrading or flying premier economy the fact that we did not even get to watch the security video is not a concern to ba as someone who flies ba a lot they have just lost a customer and do not care i would avoid flying ba now terrible service
1953,glasgow to lisbon via london heathrow with british airways checked in on time but informed as we were about to board that there would be a delay of 1 hour once on board the delay became over 2 hours and we missed our connecting flight to lisbon were booked on the next flight but could not get seats together in club europe despite the high fare paid the meal comprised 3 sandwiches and a stodgy cake arrived in lisbon several hours late pathetic no one in london to tell us what was happening until we arrived in the terminal 3 lounge
1954,review   british airways ruined our holiday we had a flight from edinburgh to prague via heathrow booked and the flight was 70 minutes late in arriving at lhr therefore we missed our connecting flight and when we approached the ba customer service desk for help the customer service advisor was disinterested smug and extremely unhelpful he even said he was doing me a favour by booking another flight
1955,review   we travelled from aberdeen to heathrow and on to san francisco with no issues other than very poor legroom even less legroom than on a local flight to europe ryanair on a 10 hour flight on the return journey the first flight from san francisco to heathrow was delayed once on the plane the flight was ready to go when there was a further delay because the gate staff had somehow mixed up the boarding passes and had a discrepancy so they had to physically check several passengers to make sure they were who they said they were very scary in view of the security situation then our row of 3 seats had no inflight entertainment row 28 the first flight attendant we talked to fobbed us off for ages and eventually admitted he could not fix it then the next level up flight attendant tried and finally the flight director came to see us and offered us an alcoholic drink so we travelled for 10 hours with no entertainment on landing at heathrow our next flight to aberdeen was also delayed for one hour on complaining to ba they eventually replied offering us a voucher for 20 pounds not much use if you intend never to fly ba again shocking customer service avoid heathrow and particularly ba at heathrow
1956,we spent extra to be upgraded to first to fly from london heathrow to dallas fort worth it was definitely not worth it the 777 has smaller first class seats they have expanded the number of seats too there are now around 20 cabin crew were young and clearly without enough experience quite unhelpful and it took a long time to get meals  they have been taught to do everyone individually that doesnt work when they have expanded the number of passengers cabin crew clearly felt their only responsibility was to feed us they disappeared after lunch for many hours  until it was time for tea which is now a meal less adequate than it used to be in club further first class food is far from first class fewer choices and what is provided is not good very disappointing first class in ba used to be restful and the food was decent
1957,review   london heathrow  new york jfk ba115 first seat 1k it was very strange to be bussed to the aircraft rather than using an airbridge but this was due to capacity issues i was greeted at the steps of the aircraft taken to my seat handed pyjamas and a wash bag and a glass of champagne the seat was the new first with upgraded panasonic entertainment system i was addressed by name throughout the flight given extra food to try as it was a half full cabin regular top ups for drinks and received a stellar service from a dedicated and professional crew the new entertainment system was great and the buy for you fly service worked as my items were delivered to my seat one of the best flights ive had for a long time but i always believe its down to the service
1958,w york jfk  london heathrow ba174 club world seat 62k if you are travelling club world with ba the upper deck on the 747 is the best option for that private jet feel seat 62k is a great seat with window lockers more space and no one climbing over you the food was very good and the entertainment system was the new panasonic version with plenty of choice and improve sound and picture quality i managed a couple of hours sleep as it was a relatively short flight
1959,review  basel to london heathrow with british airways at 1130am i recieved a text telling me that flight ba755 departing 1810 had been cancelled 70 minutes later i recieved a second message telling me that i was rebooked on flight ba749a departing 2155 on arrival at basel airport i discovered the club class check in doubles as a general enquiry point after a wait of 30 minutes whilst a stream of economy passengers queries were dealt with a rude and unhelpful agent checked me in i asked if the seat 2c i had prebooked on the cancelled flight was available and was told no i had been allocated seat 3c and the allocation could not be changed seat 2c remained empty the business lounge was at least superior to the ba one i used on my outward journey being independantly run our incoming flight for ba749 was delayed leaving heathrow finally landing at 1125pm at 1030pm passengers were informed by the business lounge concierge that we must clear passport control and be in line at the gate by 1100pm as the airport closes at midnight so a rapid turnround was needed the flight eventually pushed back from the stand at 2350 i wonder if this was a ploy by ba to avoid paying compensation for a 3 hour delay on board we met by profuse apologies from the captain and cabin staff although no no reason for the delay was given certainly not bas finest hour
1960,flew british airways from london to calgary flight from b gates at t5 lounge there so much better than in main terminal but poor selection of food midafternoon first time on dreamliner was ok but not noticeably a major improvement from 747 other than the ife which was excellent had the steak main course which was the best of a bad bunch late takeoff and most of time made up have seen the damning comments on here about slipping standards but my recent experiences have been good
1961,review   london heathrow to boston my complaint is about the service and rudeness of the british airways boarding staff priority boarding lane had over 50 people waiting while no one was in line for the general boarding when i tried to attract the attention of the attendant he addressed me with such rudeness and disregard his words were you are not the only first class passenger and kept ranting even after i left his station this is not acceptable in any situation i cannot believe this just happened will never set foot in another ba flight
1962,london heathrow to zurich  after reading all the negative reviews about british airways i was apprehensive as i had not flown on british airways in over 10 years i kept my expectations low and i was not disappointed yes the business class lounge at terminal 5 was jammed with people i did find a place at the far end to sit and charge up my phone the large glass panes afford a panoramic view of the surrounding area and a section of the runways a good variety of food and drinks but hard to move around given the crowds the bathrooms could do with more frequent cleaning as for the flight it left and arrived on time i was served a cold chicken salad no choices and a dessert and a selection of drinks were offered the flight attendant servicing the business class section was solicitous pilot kept us informed of weather and flight direction a large monitor in the cabin revealed and updated the flight route for a relatively short flight service was fine true the seats were not larger nor was leg space more but the middle seat had been covered by a tray and thus empty was able to board the plane first and disembark first and had my carryon bags with me all the time in sum a matteroffact efficient trip that took me to my destination in good shape and on time
